           nearest  nearest_latlon  obs_stn latlon
num  stnid ygd-xgd  lat-lon(model)  lat-lon(input)  grass urban water  STN_NAME
  5  47701 231 276  35.973 127.717  36.004 127.672  0.874 0.126 0.000  ( Muju )            AN WN
  6  47605 229 276  36.193 127.719  36.163 127.760  0.872 0.128 0.000  ( Yeongdong )       DUD EHD
  1  47003 173 293  42.311 130.306  42.317 130.400  0.886 0.114 0.000  ( Senbong )         TJS QHD
  2  47005 178 280  41.797 128.368  41.817 128.317  0.852 0.148 0.000  ( Samjiyon )        TKAWLDUS
  3  47008 177 290  41.882 129.843  41.783 129.817  0.876 0.124 0.000  ( Chongjin )        CJD WLS
  4  47014 178 270  41.805 126.896  41.783 126.883  0.850 0.150 0.000  ( Chunggang )       WND RKD
  5  47016 182 279  41.359 128.213  41.400 128.167  0.852 0.148 0.000  ( Hyesan )          Gp TKS
  6  47020 186 268  40.924 126.607  40.967 126.600  0.853 0.147 0.000  ( Kanggye )         RKD Rp
  7  47022 187 279  40.809 128.203  40.817 128.150  0.833 0.153 0.014  ( Pungsan )         VND TKS
  8  47025 188 286  40.685 129.215  40.667 129.200  0.837 0.163 0.000  ( Kimchaek )        RLA COR
  9  47028 190 256  40.467 124.876  40.450 124.933  0.801 0.130 0.069  ( Supung )          TN VND
 10  47031 191 272  40.375 127.186  40.367 127.250  0.823 0.143 0.034  ( Changjin )        WKD WLS
 11  47035 193 252  40.126 124.311  40.100 124.383  0.515 0.166 0.319  ( Sinuiju )         TLSDMLWN
 12  47037 194 259  40.034 125.319  39.983 125.250  0.839 0.161 0.000  ( Kusong )          RN TJD
 13  47039 193 265  40.152 126.179  40.167 126.250  0.851 0.149 0.000  ( Huichon )         GML CJS
 14  47041 195 275  39.933 127.615  39.933 127.550  0.839 0.161 0.000  ( Hamhung )         GKA GMD
 15  47046 194 279  40.039 128.190  40.033 128.183  0.714 0.286 0.000  ( Sinpo )           TLS VH
 16  47050 198 261  39.597 125.615  39.617 125.650  0.807 0.153 0.040  ( Anju )            DKS WN
 17  47052 202 270  39.165 126.899  39.167 126.833  0.856 0.144 0.000  ( Yangdok )         DID EJR
 18  47055 202 273  39.164 127.324  39.183 127.433  0.849 0.151 0.000  ( Wonsan )          DNJS TKS
 19  47058 203 262  39.049 125.766  39.033 125.783  0.754 0.213 0.033  ( Pyongyang )       VUD DID
 20  47060 206 259  38.714 125.349  38.717 125.367  0.825 0.175 0.000  ( Nampo )           SKA VH
 21  47061 206 279  38.719 128.168  38.733 128.183  0.842 0.158 0.000  ( Changjon )        WKD WJS
 22  47065 208 262  38.499 125.775  38.517 125.767  0.818 0.168 0.013  ( Sariwon )         TKFLDNJS
 23  47067 208 267  38.504 126.478  38.500 126.533  0.838 0.162 0.000  ( Singye )          TLS Rp
 24  47068 211 256  38.158 124.941  38.200 124.883  0.822 0.178 0.000  ( Yongyon )         DYD DUS
 25  47069 212 261  38.058 125.643  38.033 125.700  0.819 0.181 0.000  ( Haeju )           GO WN
 26  47070 213 268  37.954 126.621  37.967 126.567  0.746 0.164 0.090  ( Kaesong )         RO TJD
 27  47075 209 273  38.394 127.321  38.400 127.300  0.844 0.156 0.000  ( Pyonggang )       VUD RKD
